"bil","nama_penuh","no_tel","pengguna_ic","emel","pekerjaan","pengguna_tempat_tugas","no_id","pengguna_peranan_bil","pengguna_peranan_nama","pengguna_status","pengguna_waktu"
"73","ppd41","ppd41","ppd41","","","","","63","ppd41","","0000-00-00 00:00:00"
"74","ppd42","ppd42","ppd42","","","","","64","ppd42","","0000-00-00 00:00:00"
"75","ppd43","ppd43","ppd43","","","","","65","ppd43","","0000-00-00 00:00:00"
"76","ppd44","ppd44","ppd44","","","","","66","ppd44","","0000-00-00 00:00:00"
"77","ppd45","ppd45","ppd45","","","","","67","ppd45","","0000-00-00 00:00:00"
"78","ppd46","ppd46","ppd46","","","","","68","ppd46","","0000-00-00 00:00:00"
"79","ppd47","ppd47","ppd47","","","","","69","ppd47","","0000-00-00 00:00:00"
"80","ppd48","ppd48","ppd48","","","","","70","ppd48","","0000-00-00 00:00:00"
"81","ppd49","ppd49","ppd49","","","","","71","ppd49","","0000-00-00 00:00:00"
"82","ppd50","ppd50","ppd50","","","","","72","ppd50","","0000-00-00 00:00:00"
"83","ppd51","ppd51","ppd51","","","","","73","ppd51","","0000-00-00 00:00:00"
"84","ppd52","ppd52","ppd52","","","","","74","ppd52","","0000-00-00 00:00:00"
"85","ppd53","ppd53","ppd53","","","","","75","ppd53","","0000-00-00 00:00:00"
"86","ppd54","ppd54","ppd54","","","","","76","ppd54","","0000-00-00 00:00:00"
"87","ppd55","ppd55","ppd55","","","","","77","ppd55","","0000-00-00 00:00:00"
"88","ppd56","ppd56","ppd56","","","","","78","ppd56","","0000-00-00 00:00:00"
"89","ppd57","ppd57","ppd57","","","","","79","ppd57","","0000-00-00 00:00:00"
"90","ppd58","ppd58","ppd58","","","","","80","ppd58","","0000-00-00 00:00:00"
"91","ppd59","ppd59","ppd59","","","","","81","ppd59","","0000-00-00 00:00:00"
"92","ppd60","ppd60","ppd60","","","","","82","ppd60","","0000-00-00 00:00:00"
"93","ppd61","ppd61","ppd61","","","","","83","ppd61","","0000-00-00 00:00:00"
"94","ppd62","ppd62","ppd62","","","","","84","ppd62","","0000-00-00 00:00:00"
"95","ppd63","ppd63","ppd63","","","","","85","ppd63","","0000-00-00 00:00:00"
"96","ppd64","ppd64","ppd64","","","","","86","ppd64","","0000-00-00 00:00:00"
"97","ppd65","ppd65","ppd65","","","","","87","ppd65","","0000-00-00 00:00:00"
"98","ppd66","ppd66","ppd66","","","","","88","ppd66","","0000-00-00 00:00:00"
"99","ppd67","ppd67","ppd67","","","","","89","ppd67","","0000-00-00 00:00:00"
"100","ppd68","ppd68","ppd68","","","","","90","ppd68","","0000-00-00 00:00:00"
"101","ppd69","ppd69","ppd69","","","","","91","ppd69","","0000-00-00 00:00:00"
"102","ppd70","ppd70","ppd70","","","","","92","ppd70","","0000-00-00 00:00:00"
"103","ppd71","ppd71","ppd71","","","","","93","ppd71","","0000-00-00 00:00:00"
"104","ppd72","ppd72","ppd72","","","","","94","ppd72","","0000-00-00 00:00:00"
"105","ppd73","ppd73","ppd73","","","","","95","ppd73","","0000-00-00 00:00:00"
"106","ppd74","ppd74","ppd74","","","","","96","ppd74","","0000-00-00 00:00:00"
"107","ppd75","ppd75","ppd75","","","","","97","ppd75","","0000-00-00 00:00:00"
"108","ppd76","ppd76","ppd76","","","","","98","ppd76","","0000-00-00 00:00:00"
"109","ppd77","ppd77","ppd77","","","","","99","ppd77","","0000-00-00 00:00:00"
"110","ppd78","ppd78","ppd78","","","","","100","ppd78","","0000-00-00 00:00:00"
"111","ppd79","ppd79","ppd79","","","","","101","ppd79","","0000-00-00 00:00:00"
"112","ppd80","ppd80","ppd80","","","","","102","ppd80","","0000-00-00 00:00:00"
"113","ppd81","ppd81","ppd81","","","","","103","ppd81","","0000-00-00 00:00:00"
"114","ppd82","ppd82","ppd82","","","","","104","ppd82","","0000-00-00 00:00:00"
"115","ppd83","ppd83","ppd83","","","","","105","ppd83","","0000-00-00 00:00:00"
"116","ppd84","ppd84","ppd84","","","","","106","ppd84","","0000-00-00 00:00:00"
"117","ppd85","ppd85","ppd85","","","","","107","ppd85","","0000-00-00 00:00:00"
"118","ppd86","ppd86","ppd86","","","","","108","ppd86","","0000-00-00 00:00:00"
"119","ppd87","ppd87","ppd87","","","","","109","ppd87","","0000-00-00 00:00:00"
"120","ppd88","ppd88","ppd88","","","","","110","ppd88","","0000-00-00 00:00:00"
"121","ppd89","ppd89","ppd89","","","","","111","ppd89","","0000-00-00 00:00:00"
"122","ppd90","ppd90","ppd90","","","","","112","ppd90","","0000-00-00 00:00:00"
"123","ppd91","ppd91","ppd91","","","","","113","ppd91","","0000-00-00 00:00:00"
"124","ppd92","ppd92","ppd92","","","","","114","ppd92","","0000-00-00 00:00:00"
"125","ppd93","ppd93","ppd93","","","","","115","ppd93","","0000-00-00 00:00:00"
"126","ppd94","ppd94","ppd94","","","","","116","ppd94","","0000-00-00 00:00:00"
"127","ppd95","ppd95","ppd95","","","","","117","ppd95","","0000-00-00 00:00:00"
"128","ppd96","ppd96","ppd96","","","","","118","ppd96","","0000-00-00 00:00:00"
"129","ppd97","ppd97","ppd97","","","","","119","ppd97","","0000-00-00 00:00:00"
"130","ppd98","ppd98","ppd98","","","","","120","ppd98","","0000-00-00 00:00:00"
"131","ppd99","ppd99","ppd99","","","","","188","US_SISMAP","","0000-00-00 00:00:00"
"132","ppd100","ppd100","ppd100","","","","","122","ppd100","","0000-00-00 00:00:00"
"133","ppd101","ppd101","ppd101","","","","","123","ppd101","","0000-00-00 00:00:00"
"134","ppd102","ppd102","ppd102","","","","","124","ppd102","","0000-00-00 00:00:00"
"135","ppd103","ppd103","ppd103","","","","","125","ppd103","","0000-00-00 00:00:00"
"136","ppd104","ppd104","ppd104","","","","","126","ppd104","","0000-00-00 00:00:00"
"137","ppd105","ppd105","ppd105","","","","","127","ppd105","","0000-00-00 00:00:00"
"138","ppd106","ppd106","ppd106","","","","","128","ppd106","","0000-00-00 00:00:00"
"139","ppd107","ppd107","ppd107","","","","","129","ppd107","","0000-00-00 00:00:00"
"140","ppd108","ppd108","ppd108","","","","","130","ppd108","","0000-00-00 00:00:00"
"141","ppd109","ppd109","ppd109","","","","","131","ppd109","","0000-00-00 00:00:00"
"142","ppd110","ppd110","ppd110","","","","","132","ppd110","","0000-00-00 00:00:00"
"143","ppd111","ppd111","ppd111","","","","","133","ppd111","","0000-00-00 00:00:00"
"144","ppd112","ppd112","ppd112","","","","","134","ppd112","","0000-00-00 00:00:00"
"145","ppd113","ppd113","ppd113","","","","","135","ppd113","","0000-00-00 00:00:00"
"146","ppd114","ppd114","ppd114","","","","","136","ppd114","","0000-00-00 00:00:00"
"147","ppd115","ppd115","ppd115","","","","","137","ppd115","","0000-00-00 00:00:00"
"148","ppd116","ppd116","ppd116","","","","","138","ppd116","","0000-00-00 00:00:00"
"149","ppd117","ppd117","ppd117","","","","","139","ppd117","","0000-00-00 00:00:00"
"150","ppd118","ppd118","ppd118","","","","","140","ppd118","","0000-00-00 00:00:00"
"151","ppd119","ppd119","ppd119","","","","","141","ppd119","","0000-00-00 00:00:00"
"152","ppd120","ppd120","ppd120","","","","","142","ppd120","","0000-00-00 00:00:00"
"153","ppd121","ppd121","ppd121","","","","","143","ppd121","","0000-00-00 00:00:00"
"154","ppd122","ppd122","ppd122","","","","","144","ppd122","","0000-00-00 00:00:00"
"155","ppd123","ppd123","ppd123","","","","","145","ppd123","","0000-00-00 00:00:00"
"156","ppd124","ppd124","ppd124","","","","","146","ppd124","","0000-00-00 00:00:00"
"157","ppd125","ppd125","ppd125","","","","","147","ppd125","","0000-00-00 00:00:00"
"158","ppd126","ppd126","ppd126","","","","","148","ppd126","","0000-00-00 00:00:00"
"159","ppd127","ppd127","ppd127","","","","","149","ppd127","","0000-00-00 00:00:00"
"160","ppd128","ppd128","ppd128","","","","","150","ppd128","","0000-00-00 00:00:00"
"161","ppd129","ppd129","ppd129","","","","","151","ppd129","","0000-00-00 00:00:00"
"162","ppd130","ppd130","ppd130","","","","","152","ppd130","","0000-00-00 00:00:00"
"163","ppd131","ppd131","ppd131","","","","","153","ppd131","","0000-00-00 00:00:00"
"164","ppd132","ppd132","ppd132","","","","","154","ppd132","","0000-00-00 00:00:00"
"165","ppd133","ppd133","ppd133","","","","","155","ppd133","","0000-00-00 00:00:00"
"166","ppd134","ppd134","ppd134","","","","","156","ppd134","","0000-00-00 00:00:00"
"167","ppd135","ppd135","ppd135","","","","","157","ppd135","","0000-00-00 00:00:00"
"168","ppd136","ppd136","ppd136","","","","","158","ppd136","","0000-00-00 00:00:00"
"169","ppd137","ppd137","ppd137","","","","","159","ppd137","","0000-00-00 00:00:00"
"170","ppd138","ppd138","ppd138","","","","","160","ppd138","","0000-00-00 00:00:00"
"171","ppd139","ppd139","ppd139","","","","","161","ppd139","","0000-00-00 00:00:00"
"172","ppd140","ppd140","ppd140","","","","","162","ppd140","","0000-00-00 00:00:00"
"173","ppd141","ppd141","ppd141","","","","","163","ppd141","","0000-00-00 00:00:00"
"174","ppd142","ppd142","ppd142","","","","","164","ppd142","","0000-00-00 00:00:00"
"175","ppd143","ppd143","ppd143","","","","","165","ppd143","","0000-00-00 00:00:00"
"176","ppd144","ppd144","ppd144","","","","","166","ppd144","","0000-00-00 00:00:00"
"177","ppd145","ppd145","ppd145","","","","","167","ppd145","","0000-00-00 00:00:00"
"178","ppd146","ppd146","ppd146","","","","","168","ppd146","","0000-00-00 00:00:00"
"179","ppd147","ppd147","ppd147","","","","","169","ppd147","","0000-00-00 00:00:00"
"180","ppd148","ppd148","ppd148","","","","","170","ppd148","","0000-00-00 00:00:00"
"181","ppd149","ppd149","ppd149","","","","","171","ppd149","","0000-00-00 00:00:00"
"182","ppd150","ppd150","ppd150","","","","","172","ppd150","","0000-00-00 00:00:00"
"183","ppd151","ppd151","ppd151","","","","","173","ppd151","","0000-00-00 00:00:00"
"184","ppd152","ppd152","ppd152","","","","","174","ppd152","","0000-00-00 00:00:00"
"185","ppd153","ppd153","ppd153","","","","","175","ppd153","","0000-00-00 00:00:00"
"186","ppd154","ppd154","ppd154","","","","","176","ppd154","","0000-00-00 00:00:00"
"187","ppd155","ppd155","ppd155","","","","","177","ppd155","","0000-00-00 00:00:00"
"188","ppd156","ppd156","ppd156","","","","","178","ppd156","","0000-00-00 00:00:00"
"189","ppd157","ppd157","ppd157","","","","","179","ppd157","","0000-00-00 00:00:00"
"190","ppd158","ppd158","ppd158","","","","","180","ppd158","","0000-00-00 00:00:00"
"191","ppd159","ppd159","ppd159","","","","","181","ppd159","","0000-00-00 00:00:00"
"192","data","data","data","data@data.com","","","","182","data","","0000-00-00 00:00:00"
"193","perumus1","perumus1","perumus1","perumus1@perumus1.com","","","","183","perumus1","","0000-00-00 00:00:00"
"200","CPI","cpi","cpi","cpi@cpi.com","","","","184","CPI","","0000-00-00 00:00:00"
"204","Ahmad bin Abdullah A","88","88","88@88.com","Pembantu Penerangan Gred S19","PPD Putrajaya","","23","ppd1","Baharu","2024-01-04 16:12:54"
"205","Ali bin Abu","abu","a","abu@abu.com","Pembantu Penerangan Gred S22","PPD Cameron Highlands","","23","ppd1","Baharu","2023-03-12 21:46:04"
"206","lapis","lapis","lapis","lapis@lapis.com","","","","185","lapis","","0000-00-00 00:00:00"
"207","topmanagement","topmanagement","topmanagement","topmanagement","","","","186","topmanagement","","0000-00-00 00:00:00"
"208","program","program","program","program@program.com","","","","187","program","","0000-00-00 00:00:00"
"210","Cubaan Tambah","129","192","a@a.com","Penolong Pegawai Penerangan Gred S29","PPD T13","","0","","Baharu","2023-03-30 15:27:58"
"211","u_obp","u_obp","u_obp","u_obp@u_obp.com","","","","191","US_OBP","","0000-00-00 00:00:00"
"212","u_program","u_program","u_program","u_program","","","","190","US_PROGRAM","","0000-00-00 00:00:00"
"213","pkpm_wpkl","pkpm_wpkl","pkpm_wpkl","pkpm_wpkl@a.com","","","","193","pkpm1","","0000-00-00 00:00:00"
"214","pkpm_pahang","pkpm_pahang","pkpm_pahang","pkpm_pahang@a.com","","","","194","pkpm2","","0000-00-00 00:00:00"
"215","bpkpm","bpkpm","bpkpm","bpkpm@a.com","","","","190","US_PROGRAM","","0000-00-00 00:00:00"
"216","CALON A","a","1","a@a.com","Pegawai Penerangan Gred S44","","","190","US_PROGRAM","Baharu","2023-12-24 02:05:46"
"217","q","q","q","q@q.q","Pegawai Penerangan Gred S44","q","","0","","Baharu","2023-12-24 01:38:20"
"218","w2","w","w","w@w.w","Pegawai Penerangan Gred S44","w","","0","","Baharu","2023-12-24 03:05:02"
"219","e","e","e","e@e.e","Pegawai Penerangan Gred S44","e23","","190","US_PROGRAM","Baharu","2023-12-24 02:04:18"
"220","r","r","r","r@r.r","Pegawai Penerangan Gred S44","r","","190","US_PROGRAM","Baharu","2023-12-24 02:05:37"
"221","Z","Z","Z","Z@Z.COM","Pegawai Penerangan Gred S54","Z","","185","lapis","Baharu","2023-12-27 15:48:07"
"222","x","x","x","x@x.com","Penolong Pegawai Penerangan Gred S32","x","","0","","Baharu","2023-12-27 15:50:11"
